"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Dent";325.803846;3.946715783;14.55128177;66.91653933;869.53;14.74699842
"Flint";262.2406647;5.446024406;17.18030191;62.02106955;868.74;13.50868882
"Flint";313.303846;3.921715783;13.92628177;69.51653933;842.67;13.39861613
"Flint";326.4906647;4.196024406;15.33030191;65.59606955;808.23;13.06868882
"Flint";287.303846;4.196715783;13.35128177;67.91653933;865.52;13.67007535
"Dent";321.303846;4.196715783;13.15128177;66.59153933;986.63;18.24699842
"Dent";352.1287598;2.201156429;12.45523625;71.5291233;1109.64;17.4
"Dent";331.3652116;3.345744424;13.36303604;70.09132527;1112.62;16.24699842
"Dent";356.3787598;2.801156429;12.35523625;71.4541233;1154.47;17.84419436
"Flint";356.6287598;8.201156429;12.23023625;63.4541233;959.05;16.37536864
"Tropical";329.1287598;3.926156429;9.780236248;73.6541233;1002.79;16.51622919
"Tropical";343.1287598;3.976156429;13.40523625;69.1541233;938.97;17.11238304
"Dent";357.053846;2.346715783;13.20128177;70.41653933;948.91;14.82868882
"Dent";332.366422;4.163519581;13.41918643;67.93844783;920.34;16.98868882
"Tropical";331.6287598;3.751156429;12.90523625;70.1041233;1011.5;16.27120197
"Flint";309.7215384;4.368686313;12.55051271;69.53661573;939.62;15.61179358
"Flint";330.2537598;3.113656429;14.65523625;68.4916233;1096.32;17.38508195
"Tropical";311.1287598;3.551156429;15.05523625;67.9791233;982.65;18.10868882
"Dent";325.8787598;4.501156429;13.58023625;67.8041233;973.56;16.82868882
"Flint";319.053846;4.221715783;13.10128177;67.14153933;965.54;16.26622919
"Flint";318.553846;4.246715783;13.22628177;69.09153933;986.14;16.23930612
"Flint";309.553846;4.171715783;13.40128177;68.71653933;949.98;15.20853689
"Flint";279.303846;3.571715783;14.17628177;69.29153933;856.15;14.43930612
"Flint";313.553846;4.146715783;13.27628177;68.44153933;851.58;13.02776766
"Flint";306.053846;3.196715783;12.57628177;68.64153933;873.05;12.74868882
"Flint";316.4906647;3.271024406;11.80530191;70.29606955;866.26;12.71861613
"Flint";317.053846;3.021715783;16.87628177;66.11653933;870.73;15.38868882
